City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,7.52,89,100,2.39,IS,1681856606
1,waitangi,-43.9535,-176.5597,17.12,84,100,4.02,NZ,1681856607
2,bredasdorp,-34.5322,20.0403,14.69,91,47,1.9,ZA,1681856607
3,hermanus,-34.4187,19.2345,15.45,81,52,3.55,ZA,1681856607
4,farafangana,-22.8167,47.8333,22.82,84,27,1.96,MG,1681856607
5,bubaque,11.2833,-15.8333,25.76,75,100,8.79,GW,1681856607
6,bagaha,27.1,84.0833,27.3,22,0,2.92,IN,1681856608
7,svetlyy,54.675,20.1347,8.03,82,54,5.57,RU,1681856608
8,saint joseph,39.7686,-94.8466,26.42,39,0,7.72,US,1681856598
9,bethel,41.3712,-73.414,12.49,48,0,5.66,US,1681856607
10,ilulissat,69.2167,-51.1,-2.99,93,100,4.63,GL,1681856608
11,tiksi,71.6872,128.8694,-17.85,100,100,2.72,RU,1681856608
12,grytviken,-54.2811,-36.5092,2.9,87,89,0.1,GS,1681856608
13,sao felix do xingu,-6.6447,-51.995,23.2,97,100,0.72,BR,1681856609
14,mount pearl,47.5166,-52.7813,-0.02,92,100,5.66,CA,1681856114
15,ust'-ilimsk,58.0006,102.6619,-10.73,91,20,2.47,RU,1681856609
16,mildura,-34.2,142.15,13.93,90,10,6.19,AU,1681856609
17,kerikeri,-35.2268,173.9474,21.06,95,73,0.89,NZ,1681855984
18,vila franca do campo,37.7167,-25.4333,14.23,70,100,0.87,PT,1681856609
19,kone,-21.0595,164.8658,25.3,82,62,1.71,NC,1681856610
20,ancud,-41.8697,-73.8203,12.53,92,100,3.3,CL,1681856610
21,muynoq,43.7683,59.0214,8.42,41,4,4.47,UZ,1681856610
22,iqaluit,63.7506,-68.5145,-12.15,72,75,5.14,CA,1681856489
23,port-aux-francais,-49.35,70.2167,5.84,77,60,14.01,TF,1681856611
24,thompson,55.7435,-97.8558,1.09,29,40,5.14,CA,1681856611
25,timbuktu,16.7735,-3.0074,30.16,9,9,5.35,ML,1681856611
26,bolobo,-2.1667,16.2333,24.06,86,44,1.33,CD,1681856612
27,avarua,-21.2078,-159.775,23.03,88,100,7.72,CK,1681856612
28,solleftea,63.1667,17.2667,1.92,97,100,1.13,SE,1681856612
29,lompoc,34.6391,-120.4579,20.43,64,40,11.18,US,1681856612
30,adamstown,-25.066,-130.1015,24.77,73,20,6.01,PN,1681856612
31,pizarro,4.9533,-77.366,27.67,77,100,1.72,CO,1681856613
32,hawaiian paradise park,19.5933,-154.9731,27.73,75,20,8.75,US,1681856613
33,bilibino,68.0546,166.4372,-6.08,83,100,1.3,RU,1681856613
34,udachny,66.4167,112.4,-6.97,67,100,4.49,RU,1681856613
35,iskateley,67.6803,53.1512,-7.99,95,78,3.47,RU,1681856474
36,margaret river,-33.95,115.0667,10.02,85,0,3.59,AU,1681856613
37,klyuchi,52.2667,79.1667,-4.93,93,100,5.76,RU,1681856613
38,lata,40.1629,-8.3327,17.73,49,82,0.35,PT,1681856614
39,belyy yar,53.6039,91.3903,-10.06,73,0,3.0,RU,1681856614
40,ushuaia,-54.8,-68.3,5.81,70,100,3.09,AR,1681856484
41,aljezur,37.3191,-8.8033,15.06,74,65,1.18,PT,1681856614
42,vernon,50.2581,-119.2691,11.2,50,100,2.68,CA,1681856614
43,nova vicosa,-17.8919,-39.3719,26.09,86,44,6.0,BR,1681856334
44,pagar alam,-4.0167,103.2667,20.11,98,97,1.17,ID,1681856614
45,yellowknife,62.456,-114.3525,7.29,42,20,8.23,CA,1681856475
46,coronel moldes,-33.6227,-64.5971,15.6,35,58,3.72,AR,1681856615
47,envira,-7.3,-70.2167,26.82,78,100,0.5,BR,1681856615
48,mermoz boabab,14.7065,-17.4758,29.88,30,0,1.03,SN,1681856615
49,huilong,31.8111,121.655,17.77,91,100,3.27,CN,1681856615
50,blackmans bay,-43.0167,147.3167,12.07,75,71,2.47,AU,1681856615
51,sexmoan,14.8833,120.6,27.89,85,9,0.83,PH,1681856616
52,margate,51.3813,1.3862,9.39,87,93,1.79,GB,1681856616
53,mount isa,-20.7333,139.5,20.87,64,100,3.6,AU,1681856616
54,aasiaat,68.7098,-52.8699,-6.7,90,100,4.09,GL,1681856616
55,taoudenni,22.6783,-3.9836,32.06,16,35,2.69,ML,1681856616
56,qaqortoq,60.7167,-46.0333,-0.1,91,23,1.52,GL,1681856616
57,constantia,44.1833,28.65,10.39,87,100,3.18,RO,1681856617
